year, month, day, dow, hol, ObsCode, dcnn,Ptemp,Pstn,Pmsl,Tdry,Twet,Tdew,RH,Tx,Tn,Ts,Tbar,E5,E10,E20,E30,E50,E1m,N8,dd,ff_ms,ggx_ms,RR,sd_cm,fs_cm,sog,sog_s,sss
1970,01,01,4_th,NY,"PktReg",5576,20.0,1005.7,1011.5,0.1,-1.4,-5,71,2.1,-2.2,-2.2,-0.1,0.2,0.8,1.7,3.7,x,x,8,02,x,x,0.3,1,0,x,x,0.0
1970,01,02,5_fr,x,"PktReg",5576,18.2,999.7,1005.8,2.1,1.9,2,96,6.1,-2.9,-5.8,1.6,0.3,0.8,1.6,3.4,x,x,7,25,x,x,0.5,1,0,x,x,0.3
1970,01,03,6_sa,x,"PktReg",5576,19.5,996.4,1002.4,1.0,0.4,0,90,1.6,0.8,-0.2,1.2,1.9,2.3,2.8,3.9,x,x,7,36,x,x,tr,0,0,x,x,0.0
1970,01,04,7_su,x,"PktReg",5576,15.6,995.7,1002.5,-5.6,-5.8,-7,91,2.6,-6.7,-11.0,-2.1,-1.1,0.4,1.7,3.3,x,x,0,00,x,x,tr,0,0,x,x,7.0
1970,01,05,1_mo,x,"PktReg",5576,16.6,993.0,999.4,-4.7,-4.7,-6,95,1.1,-5.8,-10.3,-2.4,-1.8,-0.4,0.8,2.6,x,x,8,30,x,x,1.8,0,0,x,x,4.9
1970,01,06,2_tu,x,"PktReg",5576,19.7,995.7,1001.7,-0.2,-1.2,-3,82,3.1,-5.0,-8.3,-1.0,-1.1,-0.4,0.6,2.2,x,x,0,28,x,x,0.0,2,2,x,x,7.3
1970,01,07,3_we,x,"PktReg",5576,17.6,1012.2,1018.7,-6.8,-6.8,-8,94,1.6,-7.6,-11.4,-3.0,-2.3,-1.0,0.4,2.1,x,x,1,00,x,x,0.0,2,0,x,x,6.1
1970,01,08,4_th,x,"PktReg",5576,20.1,1003.6,1009.6,-0.9,-1.8,-4,81,4.6,-6.9,-10.1,-1.2,-0.9,-0.4,0.4,1.9,x,x,8,10,x,x,5.8,1,0,x,x,0.0
1970,01,09,5_fr,x,"PktReg",5576,19.3,991.4,997.1,4.6,4.4,4,97,9.8,-1.1,-1.8,4.4,-0.2,-0.1,0.5,1.8,x,x,9,15,x,x,8.9,4,2,x,x,0.0
1970,01,10,6_sa,x,"PktReg",5576,19.0,991.5,997.2,4.6,4.6,4,99,8.6,1.7,-1.3,5.2,-0.1,-0.1,0.6,2.2,x,x,8,07,x,x,8.6,0,0,x,x,0.0
1970,01,11,7_su,x,"PktReg",5576,17.2,982.0,988.0,8.6,8.5,8,98,10.0,3.8,0.3,6.9,3.5,2.4,1.9,3.0,x,x,8,13,x,x,3.6,0,0,x,x,0.1
1970,01,12,1_mo,x,"PktReg",5576,19.4,981.0,986.6,7.7,7.0,6,91,8.4,5.9,3.1,7.2,4.6,4.6,4.6,4.4,x,x,7,16,x,x,0.5,0,0,x,x,0.1
1970,01,13,2_tu,x,"PktReg",5576,20.6,987.2,992.6,4.9,4.8,5,99,8.3,0.2,-0.9,4.3,3.2,3.3,3.8,4.4,x,x,8,16,x,x,7.6,0,0,x,x,0.0
1970,01,14,3_we,x,"PktReg",5576,18.0,982.2,988.0,7.9,7.6,7,95,10.0,4.8,3.8,7.4,6.3,6.0,5.5,5.0,x,x,8,14,x,x,2.3,0,0,x,x,0.2
1970,01,15,4_th,x,"PktReg",5576,18.4,985.8,991.7,7.7,7.6,7,98,9.0,7.3,6.3,8.2,6.4,6.3,6.1,5.7,x,x,7,15,x,x,0.5,0,0,x,x,0.0
1970,01,16,5_fr,x,"PktReg",5576,20.8,999.3,1004.8,7.3,7.1,7,97,7.8,6.0,5.8,6.9,6.4,6.3,6.2,6.1,x,x,8,34,x,x,0.3,0,0,x,x,0.0
